MLMG: # of AMR levels: 1
      # of MG levels on the coarsest AMR level: 6
MLMG: Initial rhs               = 522.9256522
MLMG: Initial residual (resid0) = 522.9256522
MLMG: Iteration   1 Fine resid/bnorm = 0.01706654062
MLMG: Iteration   2 Fine resid/bnorm = 0.003910143698
MLMG: Iteration   3 Fine resid/bnorm = 0.002167742361
MLMG: Iteration   4 Fine resid/bnorm = 0.001330487338
MLMG: Iteration   5 Fine resid/bnorm = 0.0009501448914
MLMG: Iteration   6 Fine resid/bnorm = 0.0007775575394
MLMG: Iteration   7 Fine resid/bnorm = 0.0007083706141
MLMG: Iteration   8 Fine resid/bnorm = 0.0006794462461
MLMG: Iteration   9 Fine resid/bnorm = 0.000667123941
MLMG: Iteration  10 Fine resid/bnorm = 0.0006612316695
MLMG: Iteration  11 Fine resid/bnorm = 0.0006565621504
MLMG: Iteration  12 Fine resid/bnorm = 0.0006520232466
MLMG: Iteration  13 Fine resid/bnorm = 0.0006475592808
MLMG: Iteration  14 Fine resid/bnorm = 0.0006431453279
MLMG: Iteration  15 Fine resid/bnorm = 0.0006387701057
MLMG: Iteration  16 Fine resid/bnorm = 0.0006344285276
MLMG: Iteration  17 Fine resid/bnorm = 0.0006301182091
MLMG: Iteration  18 Fine resid/bnorm = 0.0006258379663
MLMG: Iteration  19 Fine resid/bnorm = 0.0006215871559
MLMG: Iteration  20 Fine resid/bnorm = 0.0006173653797
MLMG: Iteration  21 Fine resid/bnorm = 0.0006131723507
MLMG: Iteration  22 Fine resid/bnorm = 0.0006090078331
MLMG: Iteration  23 Fine resid/bnorm = 0.0006048716149
MLMG: Iteration  24 Fine resid/bnorm = 0.0006007634955
MLMG: Iteration  25 Fine resid/bnorm = 0.0005966832804
MLMG: Iteration  26 Fine resid/bnorm = 0.0005926307783
MLMG: Iteration  27 Fine resid/bnorm = 0.0005886058003
MLMG: Iteration  28 Fine resid/bnorm = 0.0005846081591
MLMG: Iteration  29 Fine resid/bnorm = 0.0005806376688
MLMG: Iteration  30 Fine resid/bnorm = 0.0005766941451
MLMG: Iteration  31 Fine resid/bnorm = 0.0005727774046
MLMG: Iteration  32 Fine resid/bnorm = 0.0005688872655
MLMG: Iteration  33 Fine resid/bnorm = 0.0005650235471
MLMG: Iteration  34 Fine resid/bnorm = 0.00056118607
MLMG: Iteration  35 Fine resid/bnorm = 0.0005573746559
MLMG: Iteration  36 Fine resid/bnorm = 0.0005535891279
MLMG: Iteration  37 Fine resid/bnorm = 0.00054982931
MLMG: Iteration  38 Fine resid/bnorm = 0.0005460950278
MLMG: Iteration  39 Fine resid/bnorm = 0.0005423861077
MLMG: Iteration  40 Fine resid/bnorm = 0.0005387023776
MLMG: Iteration  41 Fine resid/bnorm = 0.0005350436663
MLMG: Iteration  42 Fine resid/bnorm = 0.0005314098039
MLMG: Iteration  43 Fine resid/bnorm = 0.0005278006216
MLMG: Iteration  44 Fine resid/bnorm = 0.0005242159519
MLMG: Iteration  45 Fine resid/bnorm = 0.0005206556282
MLMG: Iteration  46 Fine resid/bnorm = 0.0005171194852
MLMG: Iteration  47 Fine resid/bnorm = 0.0005136073587
MLMG: Iteration  48 Fine resid/bnorm = 0.0005101190855
MLMG: Iteration  49 Fine resid/bnorm = 0.0005066545037
MLMG: Iteration  50 Fine resid/bnorm = 0.0005032134523
MLMG: Iteration  51 Fine resid/bnorm = 0.0004997957715
MLMG: Iteration  52 Fine resid/bnorm = 0.0004964013027
MLMG: Iteration  53 Fine resid/bnorm = 0.0004930298881
MLMG: Iteration  54 Fine resid/bnorm = 0.0004896813711
MLMG: Iteration  55 Fine resid/bnorm = 0.0004863555964
MLMG: Iteration  56 Fine resid/bnorm = 0.0004830524093
MLMG: Iteration  57 Fine resid/bnorm = 0.0004797716565
MLMG: Iteration  58 Fine resid/bnorm = 0.0004765131857
MLMG: Iteration  59 Fine resid/bnorm = 0.0004732768454
MLMG: Iteration  60 Fine resid/bnorm = 0.0004700624855
MLMG: Iteration  61 Fine resid/bnorm = 0.0004668699565
MLMG: Iteration  62 Fine resid/bnorm = 0.0004636991103
MLMG: Iteration  63 Fine resid/bnorm = 0.0004605497996
MLMG: Iteration  64 Fine resid/bnorm = 0.0004574218781
MLMG: Iteration  65 Fine resid/bnorm = 0.0004543152005
MLMG: Iteration  66 Fine resid/bnorm = 0.0004512296226
MLMG: Iteration  67 Fine resid/bnorm = 0.000448165001
MLMG: Iteration  68 Fine resid/bnorm = 0.0004451211934
MLMG: Iteration  69 Fine resid/bnorm = 0.0004420980586
MLMG: Iteration  70 Fine resid/bnorm = 0.0004390954559
MLMG: Iteration  71 Fine resid/bnorm = 0.0004361132461
MLMG: Iteration  72 Fine resid/bnorm = 0.0004331512906
MLMG: Iteration  73 Fine resid/bnorm = 0.0004302094519
MLMG: Iteration  74 Fine resid/bnorm = 0.0004272875933
MLMG: Iteration  75 Fine resid/bnorm = 0.0004243855791
MLMG: Iteration  76 Fine resid/bnorm = 0.0004215032745
MLMG: Iteration  77 Fine resid/bnorm = 0.0004186405457
MLMG: Iteration  78 Fine resid/bnorm = 0.0004157972598
MLMG: Iteration  79 Fine resid/bnorm = 0.0004129732846
MLMG: Iteration  80 Fine resid/bnorm = 0.0004101684891
MLMG: Iteration  81 Fine resid/bnorm = 0.0004073827429
MLMG: Iteration  82 Fine resid/bnorm = 0.0004046159167
MLMG: Iteration  83 Fine resid/bnorm = 0.000401867882
MLMG: Iteration  84 Fine resid/bnorm = 0.0003991385111
MLMG: Iteration  85 Fine resid/bnorm = 0.0003964276774
MLMG: Iteration  86 Fine resid/bnorm = 0.0003937352548
MLMG: Iteration  87 Fine resid/bnorm = 0.0003910611184
MLMG: Iteration  88 Fine resid/bnorm = 0.000388405144
MLMG: Iteration  89 Fine resid/bnorm = 0.0003857672082
MLMG: Iteration  90 Fine resid/bnorm = 0.0003831471885
MLMG: Iteration  91 Fine resid/bnorm = 0.0003805449632
MLMG: Iteration  92 Fine resid/bnorm = 0.0003779604114
MLMG: Iteration  93 Fine resid/bnorm = 0.0003753934132
